Employee ID,Job Title,Service Area,Department,Specialty,Sub-Specialty,BRP Index,Self Leadership,Innovation Capacity,Learning Capacity,Resilience,Exercise,Nutrition,Sleep/Wake,Social Safety,Goal Directedness,Collective Creativity,Learning,Abstraction,Executive Function,Quieting the Mind
55522,Administrative Assistant,Administration,Finance,Financial Planning and Operations,Accounting Department,6,44,33,54,34,34,52,22,14,52,18,60,40,49,50
38590,Administrative Assistant,Administration,Finance,Financial Planning and Operations,Accounting Department,31,45,21,25,33,24,23,15,57,34,35,31,22,59,11
6874,Director of Accounting,Administration,Finance,Financial Planning and Operations,Accounting Department,21,22,20,17,23,34,16,33,13,32,15,14,27,30,4
48895,Payroll Specialist,Administration,Finance,Financial Planning and Operations,Accounting Department,34,34,38,31,34,12,16,58,32,38,36,32,21,32,36
1556,Payroll Specialist,Administration,Finance,Financial Planning and Operations,Accounting Department,40,30,48,35,46,59,22,53,41,22,27,39,52,18,58
9101,Payroll Specialist,Administration,Finance,Financial Planning and Operations,Accounting Department,34,40,25,34,35,36,33,18,42,42,14,27,34,47,34
38103,Sr. Payroll Specialist,Administration,Finance,Financial Planning and Operations,Accounting Department,28,25,24,40,22,21,55,27,16,13,20,60,16,12,32
5863,Sr. Payroll Specialist,Administration,Finance,Financial Planning and Operations,Accounting Department,42,39,47,38,44,54,48,43,59,42,55,26,55,29,34
30928,Sr. Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,33,32,40,27,32,19,17,55,39,25,41,41,38,21,26
903,Sr. Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,33,32,31,33,35,31,42,25,38,35,12,13,46,40,40
6102,Sr. Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,28,28,25,31,28,52,15,11,13,25,27,48,25,26,37
44950,Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,36,38,31,49,26,13,50,32,30,52,16,54,34,17,40
14274,Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,36,38,36,34,35,26,52,49,51,37,35,31,45,31,16
29482,Staff Accountant,Administration,Finance,Financial Planning and Operations,Accounting Department,36,45,28,40,31,11,19,22,42,39,14,60,35,39,41
38293,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,45,40,57,44,40,43,37,38,25,69,40,20,100,47,48
19893,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,49,40,57,55,45,34,90,52,48,35,49,40,74,35,54
15948,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,40,26,66,23,43,35,15,23,62,2,98,11,79,29,65
